image_name,vuln_id,severity,count,related_vuln,r_count
jenkins:2.60.3,GHSA-5p59-v5wm-77v4,Medium,1,CVE-2018-6356,0
jenkins:2.60.3,GHSA-5hfp-964w-5vgm,Medium,1,CVE-2018-1000997,0
jenkins:2.60.3,GHSA-4pw5-r58h-fv24,Medium,1,CVE-2021-21683,0
jenkins:2.60.3,GHSA-4jjj-cm7q-v6hr,Medium,1,CVE-2020-2103,0
jenkins:2.60.3,GHSA-4h47-h3cr-23wh,Medium,1,CVE-2018-1000408,0
jenkins:2.60.3,GHSA-47wc-p5cp-w7pw,Medium,1,CVE-2019-10405,0
jenkins:2.60.3,GHSA-4625-q52w-39cx,Medium,1,CVE-2021-21609,0
jenkins:2.60.3,GHSA-3pr8-rf62-g893,Medium,1,CVE-2018-1000406,0
jenkins:2.60.3,GHSA-34wx-x2w9-vqm3,Medium,1,CVE-2022-0538,0
jenkins:2.60.3,GHSA-2xcm-h7vv-g8m9,Medium,1,CVE-2020-2163,0
jenkins:2.60.3,GHSA-2w4x-rxp7-grg7,Medium,1,CVE-2018-1000192,0
jenkins:2.60.3,GHSA-2pp9-r4rv-6p6j,Medium,1,CVE-2018-1999006,0
jenkins:2.60.3,GHSA-28p3-mchr-9frj,Medium,1,CVE-2018-1999042,0
jenkins:2.60.3,GHSA-279f-qwgh-h5mp,Medium,1,CVE-2023-43494,0
jenkins:2.60.3,GHSA-rrgp-c2w8-6vg6,Low,1,CVE-2023-27904,0
jenkins:2.60.3,GHSA-qv64-w99c-qcr9,Low,1,CVE-2023-43497,0
jenkins:2.60.3,GHSA-hq87-h4jg-vxfw,Low,1,CVE-2023-43498,0
jenkins:2.60.3,GHSA-h8c5-c92g-jq6x,Low,1,CVE-2017-1000401,0
jenkins:2.60.3,GHSA-7xp8-7wqx-5hqx,Low,1,CVE-2020-2105,0
jenkins:2.60.3,GHSA-584m-7r4m-8j6v,Low,1,CVE-2023-27903,0
jenkins:2.60.3,GHSA-hmr7-m48g-48f6,Medium,1,CVE-2023-40167,0
jenkins:2.60.3,GHSA-cj7v-27pg-wf7q,Low,1,CVE-2022-2047,0
jenkins:2.60.3,GHSA-vgg8-72f2-qm23,Critical,1,CVE-2017-7657,0
jenkins:2.60.3,GHSA-6x9x-8qw9-9pp6,Critical,1,CVE-2017-7658,0
jenkins:2.60.3,GHSA-wfcc-pff6-rgc5,High,1,CVE-2017-9735,0
jenkins:2.60.3,GHSA-84q7-p226-4x5w,High,1,CVE-2017-7656,0
jenkins:2.60.3,GHSA-26vr-8j45-3r4w,High,1,CVE-2021-28165,0
jenkins:2.60.3,GHSA-xc67-hjx6-cgg6,Medium,1,CVE-2019-10247,0
jenkins:2.60.3,GHSA-r28m-g6j9-r2h5,Medium,1,CVE-2019-10246,0
